,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Pevek,100,RU,1571101485,71,69.7,170.27,-0.02,3.764
1,Busselton,7,AU,1571101485,45,-33.64,115.35,15.56,4.353
2,Rocha,100,UY,1571101485,78,-34.48,-54.34,8.59,3.546
3,Punta Arenas,22,CL,1571101485,80,-53.16,-70.91,5.0,1.5
4,Albany,40,US,1571101486,54,42.65,-73.75,14.0,4.6
5,Barrow,92,AR,1571101486,77,-38.31,-60.23,3.8,2.768
6,Marawi,85,PH,1571101486,75,8.0,124.29,28.33,1.79
7,Tautira,75,PF,1571101487,78,-17.73,-149.15,27.0,5.1
8,San Cristobal,99,HN,1571101487,95,14.68,-86.92,19.47,0.807
9,Arraial do Cabo,0,BR,1571101487,83,-22.97,-42.02,22.78,8.337
10,Tuktoyaktuk,40,CA,1571101487,79,69.44,-133.03,-3.0,3.1
11,Nanortalik,0,GL,1571101488,67,60.14,-45.24,2.55,2.251
12,Lebu,20,ET,1571101488,62,8.96,38.73,12.0,2.1
13,Ilo,41,PE,1571101488,85,-17.65,-71.34,17.34,3.832
14,Kahului,40,US,1571101488,52,20.89,-156.47,31.0,12.3
15,Ushuaia,98,AR,1571101489,70,-54.81,-68.31,6.0,11.8
16,Tasiilaq,65,GL,1571101489,59,65.61,-37.64,1.0,1.5
17,Saint-Pierre,97,FR,1571101489,93,48.95,4.24,15.0,5.1
